CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,NumberCarsOwned,AddressLine1,Phone,DateFirstPurchase,CustomerType,CompanyName,OwnsHouse
1,680,Jon,Yang,1966-04-08,Married,Male,jon24@adventure-works.com,"90000,00",2,0,Grado,Profesional,0,3761 N. 14th St,1 (11) 500 555-0162,2001-07-22,Person,No Company Entered,Yes
2,692,Eugene,Huang,1965-05-14,Single,Male,eugene10@adventure-works.com,"60000,00",3,3,Grado,Profesional,1,2243 W St.,1 (11) 500 555-0110,2001-07-18,Person,No Company Entered,No
3,493,Ruben,Torres,1965-08-12,Married,Male,ruben35@adventure-works.com,"60000,00",3,3,Grado,Profesional,1,5844 Linden Land,1 (11) 500 555-0184,2001-07-10,Person,No Company Entered,Yes
4,519,Christy,Zhu,1968-02-15,Single,Female,christy12@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,1825 Village Pl.,1 (11) 500 555-0162,2001-07-01,Person,No Company Entered,No
5,706,Elizabeth,Johnson,1968-08-08,Single,Female,elizabeth5@adventure-works.com,"80000,00",5,5,Grado,Profesional,4,7553 Harness Circle,1 (11) 500 555-0131,2001-07-26,Person,No Company Entered,Yes
6,478,Julio,Ruiz,1965-08-05,Single,Male,julio1@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,7305 Humphrey Drive,1 (11) 500 555-0151,2001-07-02,Person,No Company Entered,Yes
7,509,Janet,Alvarez,1965-12-06,Single,Female,janet9@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,2612 Berry Dr,1 (11) 500 555-0184,2001-07-27,Person,No Company Entered,Yes
8,568,Marco,Mehta,1964-05-09,Married,Male,marco14@adventure-works.com,"60000,00",3,3,Grado,Profesional,2,942 Brook Street,1 (11) 500 555-0126,2001-07-12,Person,No Company Entered,Yes
9,425,Rob,Verhoff,1964-07-07,Single,Female,rob4@adventure-works.com,"60000,00",4,4,Grado,Profesional,3,624 Peabody Road,1 (11) 500 555-0164,2001-07-28,Person,No Company Entered,Yes
10,492,Shannon,Carlson,1964-04-01,Single,Male,shannon38@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,3839 Northgate Road,1 (11) 500 555-0110,2001-07-30,Person,No Company Entered,No
11,478,Jacquelyn,Suarez,1964-02-06,Single,Female,jacquelyn20@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,7800 Corrinne Court,1 (11) 500 555-0169,2001-07-17,Person,No Company Entered,No
12,478,Curtis,Lu,1963-11-04,Married,Male,curtis9@adventure-works.com,"60000,00",4,4,Grado,Profesional,4,1224 Shoenic,1 (11) 500 555-0117,2001-07-02,Person,No Company Entered,Yes
13,442,Lauren,Walker,1968-01-18,Married,Female,lauren41@adventure-works.com,"100000,00",2,0,Grado,Administración,2,4785 Scott Street,717-555-0164,2003-09-17,Person,No Company Entered,Yes
14,500,Ian,Jenkins,1968-08-06,Married,Male,ian47@adventure-works.com,"100000,00",2,0,Grado,Administración,3,7902 Hudson Ave.,817-555-0185,2003-10-15,Person,No Company Entered,Yes
15,677,Sydney,Bennett,1968-05-09,Single,Female,sydney23@adventure-works.com,"100000,00",3,0,Grado,Administración,3,9011 Tank Drive,431-555-0156,2003-09-24,Person,No Company Entered,No
16,443,Chloe,Young,1979-02-27,Single,Female,chloe23@adventure-works.com,"30000,00",0,0,Grado parcial,Manual calificado,1,244 Willow Pass Road,208-555-0142,2003-07-22,Person,No Company Entered,No
17,494,Wyatt,Hill,1979-04-28,Married,Male,wyatt32@adventure-works.com,"30000,00",0,0,Grado parcial,Manual calificado,1,9666 Northridge Ct.,135-555-0171,2003-08-13,Person,No Company Entered,Yes
18,699,Shannon,Wang,1944-06-26,Single,Female,shannon1@adventure-works.com,"20000,00",4,0,Bachillerato,Manual calificado,2,7330 Saddlehill Lane,1 (11) 500 555-0195,2001-07-15,Person,No Company Entered,Yes
19,425,Clarence,Rai,1944-10-09,Single,Male,clarence32@adventure-works.com,"30000,00",2,0,Grado parcial,Clerical,2,244 Rivewview,1 (11) 500 555-0137,2001-07-20,Person,No Company Entered,Yes
20,499,Luke,Lal,1978-03-07,Single,Male,luke18@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,2,7832 Landing Dr,262-555-0112,2003-08-16,Person,No Company Entered,No
21,511,Jordan,King,1978-09-20,Single,Male,jordan73@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,2,7156 Rose Dr.,550-555-0163,2003-07-02,Person,No Company Entered,No
22,580,Destiny,Wilson,1978-09-03,Single,Female,destiny7@adventure-works.com,"40000,00",0,0,Grado parcial,Manual calificado,1,8148 W. Lake Dr.,622-555-0158,2003-07-27,Person,No Company Entered,No
23,583,Ethan,Zhang,1978-10-12,Married,Male,ethan20@adventure-works.com,"40000,00",0,0,Grado parcial,Manual calificado,1,1769 Nicholas Drive,589-555-0185,2003-07-24,Person,No Company Entered,Yes
24,582,Seth,Edwards,1978-10-11,Married,Male,seth46@adventure-works.com,"40000,00",0,0,Grado parcial,Manual calificado,1,4499 Valley Crest,452-555-0188,2003-08-21,Person,No Company Entered,Yes
25,470,Russell,Xie,1978-09-17,Married,Male,russell7@adventure-works.com,"60000,00",0,0,Grado parcial,Manual calificado,2,8734 Oxford Place,746-555-0186,2003-12-29,Person,No Company Entered,Yes
26,637,Alejandro,Beck,1945-12-23,Married,Male,alejandro45@adventure-works.com,"10000,00",2,1,Bachillerato parcial,Clerical,2,2596 Franklin Canyon Road,1 (11) 500 555-0178,2001-07-09,Person,No Company Entered,Yes
27,634,Harold,Sai,1946-04-03,Single,Male,harold3@adventure-works.com,"30000,00",2,0,Grado parcial,Clerical,2,8211 Leeds Ct.,1 (11) 500 555-0131,2001-07-26,Person,No Company Entered,No
28,568,Jessie,Zhao,1946-12-07,Married,Male,jessie16@adventure-works.com,"30000,00",2,0,Grado parcial,Clerical,2,213 Valencia Place,1 (11) 500 555-0184,2001-07-19,Person,No Company Entered,Yes
29,554,Jill,Jimenez,1946-04-11,Married,Female,jill13@adventure-works.com,"30000,00",2,0,Grado parcial,Clerical,2,9111 Rose Ann Ave,1 (11) 500 555-0116,2001-07-29,Person,No Company Entered,Yes
30,425,Jimmy,Moreno,1946-12-21,Married,Male,jimmy9@adventure-works.com,"30000,00",2,0,Grado parcial,Clerical,2,6385 Mark Twain,1 (11) 500 555-0146,2001-07-22,Person,No Company Entered,Yes
31,613,Bethany,Yuan,1947-02-22,Married,Female,bethany10@adventure-works.com,"10000,00",2,1,Bachillerato parcial,Clerical,2,636 Vine Hill Way,1 (11) 500 555-0182,2001-08-08,Person,No Company Entered,Yes
32,509,Theresa,Ramos,1947-08-22,Married,Female,theresa13@adventure-works.com,"20000,00",4,0,Bachillerato,Manual calificado,2,6465 Detroit Ave.,1 (11) 500 555-0195,2001-08-04,Person,No Company Entered,Yes
33,656,Denise,Stone,1947-06-11,Married,Female,denise10@adventure-works.com,"20000,00",4,0,Bachillerato,Manual calificado,2,626 Bentley Street,1 (11) 500 555-0169,2001-08-21,Person,No Company Entered,Yes
34,512,Jaime,Nath,1947-09-23,Married,Male,jaime41@adventure-works.com,"20000,00",4,0,Bachillerato,Manual calificado,2,5927 Rainbow Dr,1 (11) 500 555-0137,2001-08-18,Person,No Company Entered,Yes
35,669,Ebony,Gonzalez,1947-06-19,Married,Female,ebony19@adventure-works.com,"20000,00",4,0,Bachillerato,Manual calificado,2,5167 Condor Place,1 (11) 500 555-0136,2001-08-04,Person,No Company Entered,Yes
36,471,Wendy,Dominguez,1948-02-24,Married,Female,wendy12@adventure-works.com,"10000,00",2,1,Bachillerato parcial,Clerical,2,1873 Mt. Whitney Dr,1 (11) 500 555-0177,2001-08-09,Person,No Company Entered,Yes
37,516,Jennifer,Russell,1978-12-18,Married,Female,jennifer93@adventure-works.com,"60000,00",0,0,Grado parcial,Manual calificado,2,3981 Augustine Drive,115-555-0183,2003-07-26,Person,No Company Entered,Yes
38,467,Chloe,Garcia,1977-11-27,Single,Female,chloe27@adventure-works.com,"40000,00",0,0,Bachillerato parcial,Clerical,2,8915 Woodside Way,229-555-0112,2003-07-24,Person,No Company Entered,No
39,648,Diana,Hernandez,1948-03-23,Married,Female,diana2@adventure-works.com,"10000,00",2,1,Bachillerato parcial,Clerical,2,8357 Sandy Cove Lane,1 (11) 500 555-0114,2001-08-10,Person,No Company Entered,Yes
40,706,Marc,Martin,1948-12-17,Married,Male,marc3@adventure-works.com,"30000,00",3,0,Grado parcial,Clerical,2,9353 Creekside Dr.,1 (11) 500 555-0183,2001-08-10,Person,No Company Entered,Yes
41,559,Jesse,Murphy,1977-08-01,Married,Male,jesse15@adventure-works.com,"30000,00",0,0,Grado parcial,Manual calificado,2,3350 Kingswood Circle,961-555-0176,2003-10-05,Person,No Company Entered,Yes
42,633,Amanda,Carter,1977-10-16,Married,Female,amanda53@adventure-works.com,"60000,00",0,0,Grado parcial,Manual calificado,2,5826 Escobar,295-555-0145,2003-07-18,Person,No Company Entered,Yes
43,653,Megan,Sanchez,1977-06-13,Married,Female,megan28@adventure-works.com,"70000,00",0,0,Grado parcial,Manual calificado,2,1397 Paraiso Ct.,404-555-0199,2003-07-25,Person,No Company Entered,Yes
44,633,Nathan,Simmons,1976-02-24,Married,Male,nathan11@adventure-works.com,"60000,00",0,0,Grado parcial,Manual calificado,2,1170 Shaw Rd,296-555-0181,2003-11-09,Person,No Company Entered,Yes
45,492,Adam,Flores,1949-05-24,Married,Male,adam10@adventure-works.com,"20000,00",2,1,Bachillerato parcial,Clerical,2,6935 Candle Dr,1 (11) 500 555-0163,2001-08-31,Person,No Company Entered,Yes
46,509,Leonard,Nara,1950-05-19,Single,Male,leonard18@adventure-works.com,"30000,00",3,0,Bachillerato,Manual calificado,2,7466 La Vista Ave.,1 (11) 500 555-0151,2003-10-12,Person,No Company Entered,No
47,648,Christine,Yuan,1950-03-22,Married,Female,christine4@adventure-works.com,"30000,00",3,0,Bachillerato,Manual calificado,2,2356 Orange St,1 (11) 500 555-0113,2001-08-09,Person,No Company Entered,Yes
48,632,Jaclyn,Lu,1950-02-27,Married,Female,jaclyn12@adventure-works.com,"30000,00",3,0,Bachillerato,Manual calificado,2,2812 Mazatlan,1 (11) 500 555-0137,2001-08-06,Person,No Company Entered,No
49,699,Jeremy,Powell,1950-11-22,Married,Male,jeremy26@adventure-works.com,"30000,00",3,0,Bachillerato,Manual calificado,2,1803 Potomac Dr.,1 (11) 500 555-0183,2001-08-13,Person,No Company Entered,Yes
50,610,Carol,Rai,1980-07-18,Single,Female,carol8@adventure-works.com,"40000,00",0,0,Bachillerato parcial,Clerical,2,6064 Madrid,654-555-0180,2003-09-10,Person,No Company Entered,Yes
51,493,Alan,Zheng,1951-09-07,Married,Male,alan23@adventure-works.com,"30000,00",3,0,Bachillerato,Manual calificado,2,2741 Gainborough Dr.,1 (11) 500 555-0135,2001-08-23,Person,No Company Entered,Yes
